USER_ID,Predictions
2,Democrat
3,Democrat
6,Democrat
7,Democrat
14,Democrat
28,Democrat
29,Republican
37,Republican
44,Democrat
56,Democrat
62,Democrat
68,Democrat
72,Democrat
74,Republican
80,Republican
81,Democrat
87,Democrat
92,Democrat
96,Republican
100,Democrat
104,Democrat
105,Democrat
108,Democrat
124,Democrat
125,Democrat
127,Democrat
128,Republican
129,Democrat
130,Democrat
139,Democrat
149,Democrat
151,Republican
154,Republican
158,Republican
159,Democrat
168,Democrat
177,Republican
185,Republican
192,Democrat
195,Republican
198,Democrat
208,Democrat
209,Democrat
213,Democrat
225,Democrat
229,Democrat
231,Democrat
236,Democrat
238,Republican
239,Republican
240,Democrat
244,Democrat
259,Democrat
260,Democrat
264,Democrat
267,Republican
268,Democrat
271,Democrat
272,Democrat
274,Democrat
285,Republican
286,Democrat
296,Republican
308,Republican
310,Democrat
318,Republican
333,Democrat
340,Democrat
342,Democrat
343,Republican
344,Democrat
345,Democrat
346,Democrat
352,Democrat
354,Republican
357,Republican
366,Democrat
369,Republican
380,Democrat
389,Republican
391,Democrat
394,Democrat
396,Republican
404,Democrat
407,Republican
422,Republican
426,Republican
428,Republican
429,Republican
438,Democrat
452,Democrat
462,Democrat
469,Republican
480,Republican
488,Republican
489,Democrat
492,Democrat
498,Democrat
505,Democrat
508,Democrat
510,Democrat
511,Republican
512,Democrat
518,Democrat
519,Democrat
522,Democrat
523,Democrat
528,Republican
530,Republican
543,Democrat
549,Democrat
553,Democrat
556,Democrat
558,Republican
562,Democrat
563,Democrat
565,Democrat
567,Democrat
571,Republican
572,Democrat
581,Republican
584,Republican
600,Democrat
611,Democrat
617,Democrat
635,Democrat
642,Republican
646,Democrat
648,Democrat
651,Democrat
659,Republican
661,Republican
683,Democrat
685,Republican
694,Democrat
699,Republican
701,Democrat
702,Republican
704,Republican
713,Democrat
720,Democrat
725,Democrat
726,Democrat
727,Democrat
732,Republican
733,Republican
734,Democrat
741,Democrat
747,Republican
750,Democrat
752,Democrat
753,Democrat
760,Democrat
774,Democrat
782,Republican
803,Democrat
807,Democrat
813,Democrat
838,Democrat
839,Republican
844,Republican
846,Democrat
847,Democrat
863,Republican
864,Democrat
866,Democrat
870,Democrat
873,Democrat
878,Democrat
883,Democrat
885,Republican
886,Democrat
897,Democrat
902,Republican
907,Democrat
912,Democrat
914,Republican
918,Republican
924,Republican
932,Republican
947,Democrat
948,Republican
951,Republican
958,Democrat
963,Democrat
965,Democrat
969,Democrat
973,Republican
975,Democrat
983,Democrat
1002,Democrat
1015,Republican
1019,Democrat
1020,Republican
1029,Republican
1030,Republican
1032,Republican
1037,Democrat
1048,Democrat
1050,Democrat
1053,Democrat
1056,Republican
1057,Republican
1062,Democrat
1067,Republican
1071,Democrat
1073,Democrat
1076,Republican
1079,Democrat
1081,Democrat
1083,Republican
1084,Republican
1085,Democrat
1087,Democrat
1092,Democrat
1114,Democrat
1117,Republican
1124,Democrat
1129,Democrat
1133,Democrat
1148,Republican
1151,Republican
1154,Democrat
1157,Democrat
1158,Democrat
1162,Republican
1166,Republican
1167,Republican
1171,Democrat
1177,Democrat
1179,Republican
1191,Democrat
1199,Democrat
1200,Democrat
1206,Democrat
1208,Democrat
1209,Republican
1215,Democrat
1218,Democrat
1219,Republican
1221,Republican
1222,Democrat
1234,Democrat
1246,Republican
1256,Republican
1259,Republican
1262,Republican
1266,Democrat
1284,Republican
1288,Republican
1298,Democrat
1301,Republican
1312,Democrat
1315,Republican
1316,Republican
1322,Democrat
1328,Republican
1334,Republican
1342,Democrat
1344,Democrat
1362,Democrat
1364,Democrat
1367,Democrat
1371,Democrat
1374,Democrat
1381,Republican
1383,Republican
1402,Democrat
1409,Republican
1416,Republican
1421,Republican
1427,Democrat
1429,Democrat
1431,Democrat
1440,Democrat
1442,Democrat
1446,Republican
1451,Democrat
1452,Republican
1464,Democrat
1472,Republican
1473,Democrat
1474,Democrat
1484,Democrat
1490,Democrat
1497,Democrat
1499,Democrat
1503,Republican
1511,Democrat
1516,Republican
1521,Democrat
1522,Democrat
1523,Democrat
1529,Republican
1536,Democrat
1540,Democrat
1545,Democrat
1548,Democrat
1552,Republican
1557,Republican
1558,Democrat
1559,Democrat
1565,Republican
1576,Republican
1581,Republican
1592,Democrat
1594,Democrat
1600,Democrat
1604,Republican
1613,Republican
1615,Democrat
1617,Democrat
1619,Democrat
1620,Democrat
1624,Democrat
1629,Democrat
1630,Democrat
1637,Democrat
1643,Republican
1645,Republican
1649,Republican
1654,Democrat
1668,Republican
1680,Republican
1681,Democrat
1683,Democrat
1684,Republican
1688,Republican
1689,Democrat
1691,Democrat
1692,Democrat
1693,Democrat
1696,Republican
1702,Democrat
1706,Democrat
1708,Democrat
1719,Republican
1723,Democrat
1731,Republican
1734,Democrat
1736,Democrat
1748,Democrat
1750,Democrat
1751,Democrat
1757,Democrat
1763,Democrat
1766,Republican
1767,Republican
1776,Republican
1782,Republican
1790,Democrat
1812,Democrat
1816,Democrat
1819,Republican
1824,Democrat
1831,Democrat
1841,Democrat
1857,Democrat
1858,Democrat
1860,Democrat
1873,Republican
1876,Republican
1878,Democrat
1882,Republican
1884,Democrat
1890,Democrat
1905,Republican
1906,Republican
1913,Democrat
1918,Republican
1921,Democrat
1925,Republican
1936,Republican
1940,Democrat
1941,Republican
1947,Democrat
1948,Democrat
1959,Republican
1963,Republican
1966,Democrat
1968,Democrat
1975,Democrat
1978,Democrat
1982,Democrat
1995,Democrat
1999,Democrat
2002,Democrat
2014,Democrat
2028,Democrat
2031,Republican
2034,Democrat
2036,Republican
2037,Democrat
2040,Democrat
2041,Democrat
2042,Democrat
2043,Republican
2056,Democrat
2058,Democrat
2064,Republican
2069,Democrat
2080,Republican
2083,Democrat
2087,Democrat
2093,Democrat
2100,Republican
2109,Republican
2113,Republican
2116,Democrat
2120,Democrat
2124,Republican
2127,Democrat
2133,Democrat
2135,Democrat
2137,Democrat
2141,Democrat
2149,Democrat
2160,Republican
2162,Democrat
2163,Democrat
2165,Democrat
2166,Democrat
2178,Democrat
2180,Democrat
2185,Democrat
2187,Republican
2197,Democrat
2206,Republican
2216,Democrat
2220,Democrat
2224,Democrat
2234,Republican
2235,Republican
2241,Democrat
2248,Democrat
2259,Democrat
2262,Democrat
2274,Democrat
2275,Democrat
2298,Republican
2304,Democrat
2307,Democrat
2309,Democrat
2312,Democrat
2324,Republican
2335,Republican
2336,Democrat
2338,Democrat
2348,Democrat
2350,Democrat
2353,Democrat
2356,Democrat
2362,Republican
2374,Democrat
2377,Democrat
2378,Republican
2379,Democrat
2386,Republican
2390,Republican
2398,Republican
2402,Republican
2405,Republican
2406,Democrat
2409,Republican
2410,Republican
2413,Democrat
2416,Democrat
2419,Republican
2427,Republican
2430,Democrat
2434,Democrat
2435,Democrat
2452,Republican
